game,date,age,team,opp,result,mp,fg,fga,fgp,three,threeatt,threep,ft,fta,ftp,orb,drb,trb,ast,stl,blk,tov,pts,game_score,minus_plus
5,2010-11-02,25.84109589,MIA,MIN,W (+32),32:26:00,7,12,0.583,0,2,0,6,8,0.75,0,0,0,12,2,1,1,20,23.7,32
6,2010-11-05,25.84931507,MIA,NOH,L (-3),41:12:00,6,16,0.375,1,2,0.5,7,8,0.875,0,7,7,10,3,1,3,20,20.6,-6
7,2010-11-06,25.85205479,MIA,NJN,W (+12),33:35:00,9,16,0.563,2,4,0.5,3,5,0.6,0,3,3,9,2,0,4,23,19.4,11
8,2010-11-09,25.86027397,MIA,UTA,L (-2),46:44:00,5,18,0.278,0,1,0,10,11,0.909,2,9,11,14,1,3,2,20,22.8,4
9,2010-11-11,25.86575342,MIA,BOS,L (-5),44:28:00,9,21,0.429,0,5,0,17,22,0.773,0,10,10,9,3,0,4,35,29,0
10,2010-11-13,25.87123288,MIA,TOR,W (+9),39:20:00,8,21,0.381,0,1,0,7,11,0.636,1,1,2,11,2,0,3,23,17.6,11
11,2010-11-17,25.88219178,MIA,PHO,W (+27),23:03,9,15,0.6,0,2,0,2,3,0.667,3,5,8,9,3,0,3,20,20.6,24
12,2010-11-19,25.88767123,MIA,CHA,W (+8),39:29:00,12,25,0.48,2,5,0.4,6,7,0.857,0,2,2,5,2,0,4,32,20.6,4
13,2010-11-20,25.89041096,MIA,MEM,L (-2),42:06:00,11,23,0.478,2,4,0.5,5,6,0.833,0,3,3,11,1,0,4,29,21.7,-1
14,2010-11-22,25.89589041,MIA,IND,L (-16),41:34:00,6,14,0.429,2,8,0.25,11,15,0.733,0,5,5,6,1,0,6,25,15.5,-1
15,2010-11-24,25.90136986,MIA,ORL,L (-9),40:44:00,9,18,0.5,1,3,0.333,6,8,0.75,1,5,6,4,1,0,3,25,17,-15
16,2010-11-26,25.90684932,MIA,PHI,W (+9),40:34:00,5,15,0.333,1,5,0.2,9,11,0.818,1,7,8,6,2,1,2,20,18,11
17,2010-11-27,25.90958904,MIA,DAL,L (-11),36:04:00,5,19,0.263,0,4,0,13,15,0.867,2,6,8,4,1,0,5,23,11.7,-14
18,2010-11-29,25.91506849,MIA,WAS,W (+11),38:11:00,10,18,0.556,1,1,1,9,11,0.818,1,5,6,5,1,1,7,30,19.8,3
19,2010-12-01,25.92054795,MIA,DET,W (+25),31:14:00,8,15,0.533,1,1,1,1,2,0.5,2,4,6,3,1,0,4,18,12,17
20,2010-12-02,25.92328767,MIA,CLE,W (+28),30:02:00,15,25,0.6,2,7,0.286,6,9,0.667,0,5,5,8,1,1,0,38,33.7,26
21,2010-12-04,25.92876712,MIA,ATL,W (+12),37:19:00,5,11,0.455,1,1,1,11,13,0.846,0,7,7,4,1,1,2,22,19.7,7
22,2010-12-06,25.93424658,MIA,MIL,W (+10),38:41:00,7,16,0.438,1,3,0.333,2,4,0.5,0,6,6,6,1,1,1,17,12.5,17
23,2010-12-08,25.93972603,MIA,UTA,W (+13),39:26:00,12,20,0.6,3,5,0.6,6,7,0.857,1,6,7,9,0,0,2,33,28.6,0
24,2010-12-10,25.94520548,MIA,GSW,W (+22),30:43:00,10,18,0.556,3,4,0.75,2,3,0.667,0,7,7,9,1,1,4,25,21.7,22
25,2010-12-11,25.94794521,MIA,SAC,W (+21),35:11:00,10,19,0.526,2,3,0.667,3,5,0.6,1,9,10,3,2,0,3,25,19,15
26,2010-12-13,25.95342466,MIA,NOH,W (+12),40:18:00,6,16,0.375,0,3,0,8,10,0.8,1,3,4,7,0,0,5,20,11.1,11
27,2010-12-15,25.95890411,MIA,CLE,W (+6),38:31:00,5,15,0.333,0,4,0,11,18,0.611,2,11,13,5,1,0,4,21,14.5,0
28,2010-12-17,25.96438356,MIA,NYK,W (+22),38:13:00,14,23,0.609,3,6,0.5,1,3,0.333,1,10,11,10,1,0,5,32,27,31
29,2010-12-18,25.96712329,MIA,WAS,W (+1),40:31:00,9,19,0.474,3,7,0.429,11,12,0.917,1,6,7,6,1,0,4,32,24.4,6
30,2010-12-20,25.97260274,MIA,DAL,L (-2),36:05:00,6,17,0.353,2,4,0.5,5,7,0.714,3,7,10,7,0,0,5,19,11.2,-20
31,2010-12-23,25.98082192,MIA,PHO,W (+12),37:23:00,13,22,0.591,2,5,0.4,8,8,1,1,5,6,4,3,0,5,36,26.8,4
32,2010-12-25,25.98630137,MIA,LAL,W (+16),38:11:00,8,14,0.571,5,6,0.833,6,6,1,1,10,11,10,4,0,1,27,33.3,15
33,2010-12-28,25.99452055,MIA,NYK,W (+8),40:25:00,8,17,0.471,1,2,0.5,1,3,0.333,0,10,10,8,0,0,3,18,12.9,17
34,2010-12-29,25.99726027,MIA,HOU,W (+6),39:09:00,8,15,0.533,0,4,0,4,4,1,0,6,6,9,1,0,3,20,17.6,16
35,2011-01-01,26.00547945,MIA,GSW,W (+7),41:31:00,7,15,0.467,0,3,0,11,17,0.647,2,5,7,10,1,1,3,25,23.1,6
36,2011-01-03,26.0109589,MIA,CHA,W (+14),36:34:00,15,26,0.577,2,4,0.5,6,6,1,0,9,9,5,1,0,3,38,28.8,20
37,2011-01-04,26.01369863,MIA,MIL,W (+12),36:35:00,8,15,0.533,0,0,,9,11,0.818,1,5,6,9,0,2,2,25,24,10
38,2011-01-07,26.02191781,MIA,MIL,W (+6),45:16:00,8,23,0.348,1,4,0.25,9,11,0.818,1,9,10,5,6,1,5,26,20.1,7
39,2011-01-09,26.02739726,MIA,POR,W (+7),46:11:00,17,26,0.654,3,5,0.6,7,10,0.7,3,10,13,6,2,0,6,44,35.1,5
40,2011-01-12,26.03561644,MIA,LAC,L (-6),39:44:00,11,24,0.458,3,6,0.5,2,5,0.4,2,6,8,6,0,0,3,27,17.4,-3
41,2011-01-18,26.05205479,MIA,ATL,L (-4),44:17:00,11,30,0.367,2,10,0.2,10,11,0.909,2,8,10,7,2,0,6,34,20.5,-5
42,2011-01-22,26.0630137,MIA,TOR,W (+17),38:00:00,14,29,0.483,1,3,0.333,9,14,0.643,1,10,11,6,2,1,1,38,30.1,13
43,2011-01-27,26.07671233,MIA,NYK,L (-5),42:32:00,7,24,0.292,0,2,0,10,12,0.833,2,9,11,5,2,2,4,24,15,5
44,2011-01-28,26.07945205,MIA,DET,W (+1),44:19:00,15,25,0.6,2,4,0.5,7,10,0.7,0,8,8,9,1,2,3,39,34,4
45,2011-01-30,26.08493151,MIA,OKC,W (+5),40:13:00,7,14,0.5,2,5,0.4,7,11,0.636,0,4,4,13,4,3,4,23,25.6,6
46,2011-01-31,26.08767123,MIA,CLE,W (+27),31:22:00,7,14,0.5,0,0,,10,11,0.909,1,3,4,8,0,2,2,24,22.8,20
47,2011-02-03,26.09589041,MIA,ORL,W (+4),42:39:00,17,25,0.68,3,5,0.6,14,17,0.824,2,9,11,8,1,1,3,51,46.7,2
48,2011-02-04,26.09863014,MIA,CHA,W (+12),36:39:00,7,13,0.538,0,3,0,5,6,0.833,1,7,8,9,0,0,3,19,17.2,10
49,2011-02-06,26.10410959,MIA,LAC,W (+18),35:37:00,6,15,0.4,0,2,0,0,2,0,1,5,6,4,4,0,6,12,5.3,15
50,2011-02-08,26.10958904,MIA,IND,W (+5),41:44:00,15,23,0.652,2,5,0.4,9,13,0.692,3,10,13,8,3,1,4,41,39.3,18
51,2011-02-11,26.11780822,MIA,DET,W (+14),34:43:00,7,17,0.412,0,2,0,2,3,0.667,0,8,8,10,4,0,3,16,16.9,15
52,2011-02-13,26.12328767,MIA,BOS,L (-3),43:28:00,10,21,0.476,0,2,0,2,3,0.667,1,6,7,7,1,0,4,22,14.5,1
53,2011-02-15,26.12876712,MIA,IND,W (+7),40:55:00,11,20,0.55,1,3,0.333,4,6,0.667,1,5,6,5,2,2,5,27,20.3,9
54,2011-02-16,26.13150685,MIA,TOR,W (+8),37:38:00,8,18,0.444,0,2,0,7,10,0.7,3,10,13,8,0,0,5,23,17.7,6
55,2011-02-22,26.14794521,MIA,SAC,W (+20),30:24:00,14,26,0.538,3,6,0.5,0,3,0,2,6,8,3,0,0,3,31,17.9,18
56,2011-02-24,26.15342466,MIA,CHI,L (-4),41:26:00,12,21,0.571,0,4,0,5,6,0.833,0,10,10,5,2,1,2,29,25.5,3
57,2011-02-25,26.15616438,MIA,WAS,W (+8),42:46:00,5,11,0.455,0,1,0,15,19,0.789,1,8,9,7,1,3,1,25,27,-4
58,2011-02-27,26.16164384,MIA,NYK,L (-5),39:08:00,10,20,0.5,1,5,0.2,6,8,0.75,0,7,7,5,3,1,5,27,19.7,-3
59,2011-03-03,26.17260274,MIA,ORL,L (-3),39:56:00,11,16,0.688,0,2,0,7,7,1,2,4,6,4,0,2,2,29,26.2,0
60,2011-03-04,26.17534247,MIA,SAS,L (-30),36:08:00,11,19,0.579,1,3,0.333,3,7,0.429,3,5,8,7,1,0,4,26,20.2,-16
61,2011-03-06,26.18082192,MIA,CHI,L (-1),41:50:00,10,18,0.556,1,2,0.5,5,6,0.833,3,5,8,6,2,0,2,26,24,-4
62,2011-03-08,26.18630137,MIA,POR,L (-9),45:32:00,14,20,0.7,2,4,0.5,1,4,0.25,1,10,11,8,1,0,4,31,26.5,-2
63,2011-03-10,26.19178082,MIA,LAL,W (+6),42:16:00,7,17,0.412,0,3,0,5,7,0.714,1,7,8,9,1,0,1,19,17.8,8
64,2011-03-12,26.19726027,MIA,MEM,W (+33),31:55:00,10,16,0.625,2,4,0.5,5,6,0.833,1,4,5,5,1,2,3,27,23.8,17
65,2011-03-14,26.20273973,MIA,SAS,W (+30),41:31:00,8,19,0.421,0,1,0,5,5,1,0,6,6,8,0,2,2,21,16.5,22
66,2011-03-16,26.20821918,MIA,OKC,L (-11),39:30:00,8,21,0.381,0,3,0,3,3,1,0,8,8,3,1,1,1,19,12.7,-6
67,2011-03-18,26.21369863,MIA,ATL,W (+21),30:54:00,16,21,0.762,5,7,0.714,6,7,0.857,0,2,2,3,0,0,4,43,32.2,23
68,2011-03-19,26.21643836,MIA,DEN,W (+5),40:40:00,15,25,0.6,1,4,0.25,2,2,1,0,6,6,2,2,0,5,33,20.5,16
69,2011-03-23,26.22739726,MIA,DET,W (+6),42:05:00,8,16,0.5,0,3,0,3,4,0.75,3,5,8,7,0,0,3,19,14.9,6
70,2011-03-25,26.23287671,MIA,PHI,W (+12),41:01:00,11,17,0.647,1,4,0.25,9,9,1,2,8,10,2,3,1,4,32,28.2,17
71,2011-03-27,26.23835616,MIA,HOU,W (+6),40:27:00,13,21,0.619,0,1,0,7,9,0.778,1,9,10,7,0,0,2,33,28.6,5
72,2011-03-29,26.24383562,MIA,CLE,L (-12),43:17:00,10,21,0.476,1,5,0.2,6,10,0.6,0,10,10,12,0,0,3,27,21.9,-9
73,2011-03-30,26.24657534,MIA,WAS,W (+16),43:49:00,12,16,0.75,1,3,0.333,10,13,0.769,1,7,8,8,5,0,5,35,34.6,20
74,2011-04-01,26.25205479,MIA,MIN,W (+19),42:53:00,11,20,0.55,0,1,0,5,7,0.714,2,4,6,10,3,1,3,27,26.1,15
75,2011-04-03,26.25753425,MIA,NJN,W (+14),38:55:00,13,18,0.722,0,2,0,5,8,0.625,2,9,11,7,3,0,7,31,26.6,13
76,2011-04-06,26.26575342,MIA,MIL,L (-5),39:25:00,10,22,0.455,3,7,0.429,6,8,0.75,1,1,2,8,2,2,4,29,22,-10
77,2011-04-08,26.27123288,MIA,CHA,W (+9),37:23:00,9,16,0.563,0,1,0,5,6,0.833,1,6,7,9,2,1,1,23,24.7,12
78,2011-04-10,26.27671233,MIA,BOS,W (+23),37:11:00,11,19,0.579,0,2,0,5,9,0.556,0,5,5,7,4,1,4,27,23.2,24
79,2011-04-11,26.27945205,MIA,ATL,W (+8),42:39:00,10,21,0.476,2,4,0.5,12,14,0.857,1,9,10,7,3,0,7,34,26.4,7
1,2011-12-25,26.98630137,MIA,DAL,W (+11),36:16:00,11,19,0.579,0,0,,15,19,0.789,3,7,10,6,2,2,3,37,34.1,27
2,2011-12-27,26.99178082,MIA,BOS,W (+8),36:00:00,9,14,0.643,0,0,,8,9,0.889,1,5,6,5,2,1,3,26,23.6,-7
3,2011-12-28,26.99452055,MIA,CHA,W (+1),38:49:00,13,23,0.565,0,0,,9,9,1,0,6,6,7,3,2,2,35,33.2,5
4,2011-12-30,27,MIA,MIN,W (+2),37:13:00,16,26,0.615,0,1,0,2,4,0.5,1,7,8,10,4,1,4,34,31.1,14
5,2012-01-01,27.00547945,MIA,CHA,W (+39),28:02:00,6,10,0.6,0,0,,4,6,0.667,0,9,9,5,1,0,2,16,15,24
6,2012-01-02,27.00821918,MIA,ATL,L (-8),38:33:00,11,18,0.611,0,0,,6,9,0.667,2,5,7,6,0,0,4,28,21.3,-1
7,2012-01-04,27.01369863,MIA,IND,W (+35),37:41:00,12,21,0.571,0,0,,9,11,0.818,2,6,8,13,2,0,2,33,33.8,31
8,2012-01-07,27.02191781,MIA,NJN,W (+11),37:23:00,11,17,0.647,0,1,0,10,12,0.833,0,7,7,9,2,1,8,32,26,7
9,2012-01-10,27.03013699,MIA,GSW,L (-5),42:33:00,10,19,0.526,0,2,0,6,8,0.75,1,10,11,7,2,0,5,26,21.1,-5
10,2012-01-11,27.03287671,MIA,LAC,L (-6),41:53:00,7,19,0.368,0,1,0,9,17,0.529,2,11,13,7,2,0,6,23,12.9,-9
11,2012-01-13,27.03835616,MIA,DEN,L (-13),37:11:00,13,20,0.65,3,5,0.6,6,11,0.545,1,4,5,6,2,1,4,35,29,-16
12,2012-01-17,27.04931507,MIA,SAS,W (+22),34:53:00,12,21,0.571,4,6,0.667,5,9,0.556,1,4,5,10,0,0,4,33,26.4,19
13,2012-01-19,27.05479452,MIA,LAL,W (+11),37:13:00,12,27,0.444,2,3,0.667,5,7,0.714,3,5,8,8,4,3,3,31,26.8,0
14,2012-01-21,27.06027397,MIA,PHI,W (+21),35:47:00,12,17,0.706,0,0,,4,4,1,0,9,9,5,4,3,4,28,28.8,9
15,2012-01-22,27.0630137,MIA,MIL,L (-9),37:22:00,8,18,0.444,0,1,0,12,13,0.923,4,9,13,5,1,0,3,28,24.4,-4
16,2012-01-24,27.06849315,MIA,CLE,W (+7),37:48:00,8,21,0.381,1,4,0.25,1,4,0.25,1,4,5,5,2,0,5,18,7.3,9
17,2012-01-25,27.07123288,MIA,DET,W (+3),41:39:00,9,20,0.45,1,3,0.333,13,14,0.929,1,5,6,7,2,0,4,32,25.1,6
18,2012-01-27,27.07671233,MIA,NYK,W (+10),40:17:00,11,18,0.611,0,2,0,9,10,0.9,1,7,8,7,0,0,4,31,25.3,4
19,2012-01-29,27.08219178,MIA,CHI,W (+4),40:58:00,12,23,0.522,1,1,1,10,15,0.667,1,10,11,5,0,1,6,35,22.8,3
20,2012-01-30,27.08493151,MIA,NOH,W (+14),29:44:00,8,12,0.667,1,2,0.5,5,7,0.714,4,7,11,8,1,0,4,22,23.1,29
21,2012-02-01,27.09041096,MIA,MIL,L (-8),40:17:00,14,24,0.583,4,7,0.571,8,10,0.8,0,8,8,5,2,0,7,40,28.5,-6
22,2012-02-03,27.09589041,MIA,PHI,W (+20),37:13:00,8,16,0.5,0,1,0,3,6,0.5,1,11,12,8,0,2,2,19,18,19
23,2012-02-05,27.10136986,MIA,TOR,W (+6),38:29:00,10,17,0.588,0,1,0,10,12,0.833,0,9,9,2,1,0,5,30,21,11
24,2012-02-07,27.10684932,MIA,CLE,W (+16),38:40:00,9,16,0.563,0,1,0,6,7,0.857,1,4,5,6,2,0,6,24,17.7,5
25,2012-02-08,27.10958904,MIA,ORL,L (-13),39:15:00,5,15,0.333,0,2,0,7,10,0.7,0,6,6,10,3,0,3,17,16.1,-1
26,2012-02-10,27.11506849,MIA,WAS,W (+17),33:17:00,6,14,0.429,0,2,0,6,7,0.857,0,2,2,9,0,2,1,18,17.1,14
27,2012-02-12,27.12054795,MIA,ATL,W (+20),30:26:00,6,15,0.4,1,3,0.333,10,12,0.833,3,10,13,6,1,0,2,23,22,26
28,2012-02-13,27.12328767,MIA,MIL,W (+18),32:54:00,16,21,0.762,0,0,,3,3,1,3,5,8,3,1,0,2,35,30.2,14
29,2012-02-14,27.1260274,MIA,IND,W (+15),33:24:00,7,15,0.467,2,5,0.4,7,8,0.875,2,7,9,7,4,0,2,23,24.5,27
30,2012-02-17,27.13424658,MIA,CLE,W (+24),30:08:00,11,19,0.579,3,5,0.6,3,3,1,2,3,5,5,1,1,2,28,23.8,27
31,2012-02-19,27.13972603,MIA,ORL,W (+12),36:38:00,9,14,0.643,1,2,0.5,6,7,0.857,1,10,11,8,2,0,2,25,26.9,23
32,2012-02-21,27.14520548,MIA,SAC,W (+12),33:13:00,7,11,0.636,2,2,1,2,2,1,0,4,4,8,0,2,3,18,17.9,7
33,2012-02-23,27.15068493,MIA,NYK,W (+14),40:41:00,7,16,0.438,0,0,,6,6,1,1,8,9,8,5,2,4,20,21.5,12
34,2012-03-01,27.16986301,MIA,POR,W (+14),41:02:00,13,22,0.591,2,2,1,10,12,0.833,2,9,11,6,5,1,0,38,40.6,8
35,2012-03-02,27.17260274,MIA,UTA,L (-1),44:24:00,16,24,0.667,1,4,0.25,2,3,0.667,1,9,10,6,0,3,0,35,33.1,7
36,2012-03-04,27.17808219,MIA,LAL,L (-10),43:02:00,12,26,0.462,0,4,0,1,3,0.333,7,6,13,7,3,2,3,25,23.4,-13
37,2012-03-06,27.18356164,MIA,NJN,W (+30),29:36:00,9,11,0.818,1,1,1,2,2,1,1,8,9,6,0,0,5,21,19.2,20
38,2012-03-07,27.18630137,MIA,ATL,W (+3),41:40:00,12,20,0.6,0,3,0,7,10,0.7,4,7,11,2,1,2,2,31,26.9,7
39,2012-03-10,27.19452055,MIA,IND,W (+2),47:06:00,8,19,0.421,2,3,0.667,9,15,0.6,1,7,8,4,4,1,4,27,20.4,3
40,2012-03-13,27.20273973,MIA,ORL,L (-6),42:25:00,7,20,0.35,2,4,0.5,3,3,1,3,8,11,8,1,1,6,19,13.6,0
41,2012-03-14,27.20547945,MIA,CHI,L (-4),39:38:00,14,25,0.56,2,3,0.667,5,5,1,1,4,5,4,4,0,2,35,29,5
42,2012-03-16,27.2109589,MIA,PHI,W (+6),38:15:00,12,20,0.6,0,2,0,5,8,0.625,2,5,7,8,2,2,1,29,29.5,10
43,2012-03-18,27.21643836,MIA,ORL,W (+10),38:58:00,4,14,0.286,0,1,0,6,8,0.75,0,12,12,7,5,0,4,14,12.9,13
44,2012-03-20,27.22191781,MIA,PHO,W (+4),37:54:00,8,18,0.444,0,3,0,4,6,0.667,1,7,8,6,2,2,3,20,16.4,15
45,2012-03-23,27.23013699,MIA,DET,W (+15),37:26:00,6,15,0.4,0,3,0,5,5,1,0,6,6,10,4,1,5,17,17.4,8
46,2012-03-25,27.23561644,MIA,OKC,L (-16),39:36:00,8,18,0.444,0,3,0,1,1,1,0,3,3,7,2,0,4,17,10.6,-10
47,2012-03-26,27.23835616,MIA,IND,L (-15),40:49:00,9,21,0.429,2,4,0.5,4,6,0.667,2,7,9,2,1,0,6,24,11.6,-14
48,2012-03-29,27.24657534,MIA,DAL,W (+21),36:13:00,8,16,0.5,0,2,0,3,3,1,3,6,9,5,2,0,3,19,16.2,9
49,2012-03-30,27.24931507,MIA,TOR,W (+12),38:31:00,11,18,0.611,0,2,0,4,6,0.667,1,3,4,9,1,0,3,26,22.9,9
50,2012-04-01,27.25479452,MIA,BOS,L (-19),34:37:00,11,20,0.55,0,0,,1,2,0.5,2,2,4,0,0,1,2,23,13.3,-30
51,2012-04-03,27.26027397,MIA,PHI,W (+6),38:04:00,15,25,0.6,1,2,0.5,10,13,0.769,3,3,6,4,3,1,4,41,33.8,12
52,2012-04-04,27.2630137,MIA,OKC,W (+5),41:30:00,10,20,0.5,3,7,0.429,11,13,0.846,1,6,7,10,4,1,2,34,34.6,20
53,2012-04-06,27.26849315,MIA,MEM,L (-15),37:38:00,8,19,0.421,2,6,0.333,3,4,0.75,2,4,6,6,2,0,3,21,16.3,-6
54,2012-04-08,27.2739726,MIA,DET,W (+23),32:15:00,12,22,0.545,1,3,0.333,1,5,0.2,3,1,4,2,0,1,1,26,16.9,10
55,2012-04-10,27.27945205,MIA,BOS,L (-8),40:51:00,11,23,0.478,1,3,0.333,13,14,0.929,5,2,7,7,1,1,2,36,31.4,-6
56,2012-04-12,27.28493151,MIA,CHI,L (-10),47:18:00,11,24,0.458,3,6,0.5,5,7,0.714,1,5,6,5,1,1,4,30,19.8,-1
57,2012-04-13,27.28767123,MIA,CHA,W (+23),28:44:00,7,16,0.438,0,1,0,5,7,0.714,1,8,9,5,2,1,2,19,16.7,18
58,2012-04-15,27.29315068,MIA,NYK,W (+8),40:15:00,11,24,0.458,1,6,0.167,6,9,0.667,2,8,10,3,2,0,6,29,15.7,18
59,2012-04-16,27.29589041,MIA,NJN,W (+3),35:12:00,11,19,0.579,1,2,0.5,14,15,0.933,1,5,6,7,2,1,4,37,32.7,-4
60,2012-04-18,27.30136986,MIA,TOR,W (+24),30:12:00,12,15,0.8,1,1,1,3,4,0.75,0,5,5,4,2,0,5,28,23.2,20
61,2012-04-19,27.30410959,MIA,CHI,W (+11),35:20:00,8,18,0.444,1,2,0.5,10,12,0.833,0,11,11,6,0,1,1,27,22.8,11
62,2012-04-22,27.31232877,MIA,HOU,W (+9),35:52:00,11,21,0.524,1,3,0.333,9,10,0.9,1,7,8,5,1,2,5,32,24.6,12
1,2012-10-30,27.83561644,MIA,BOS,W (+13),28:52:00,10,16,0.625,2,4,0.5,4,5,0.8,1,9,10,3,2,0,0,26,25.1,12
2,2012-11-02,27.84383562,MIA,NYK,L (-20),36:41:00,8,16,0.5,2,3,0.667,5,6,0.833,0,7,7,5,0,3,5,23,16.5,-21
3,2012-11-03,27.84657534,MIA,DEN,W (+3),39:12:00,8,17,0.471,0,1,0,4,4,1,1,8,9,11,0,2,0,20,22.7,7
4,2012-11-05,27.85205479,MIA,PHO,W (+25),30:11:00,10,17,0.588,2,3,0.667,1,3,0.333,3,8,11,1,0,0,3,23,15.7,25
5,2012-11-07,27.85753425,MIA,BRK,W (+30),29:59:00,7,12,0.583,2,3,0.667,4,4,1,4,8,12,8,1,0,2,20,23.8,18
6,2012-11-09,27.8630137,MIA,ATL,W (+6),35:40:00,10,17,0.588,0,2,0,1,3,0.333,2,9,11,9,1,0,2,21,20.9,0
7,2012-11-11,27.86849315,MIA,MEM,L (-18),35:43:00,10,19,0.526,0,1,0,0,4,0,3,7,10,6,2,1,2,20,17.4,-18
8,2012-11-12,27.87123288,MIA,HOU,W (+3),39:55:00,14,26,0.538,5,8,0.625,5,8,0.625,1,9,10,6,0,0,0,38,31.4,8
9,2012-11-14,27.87671233,MIA,LAC,L (-7),41:13:00,12,23,0.522,0,3,0,6,9,0.667,0,5,5,7,1,2,4,30,21.1,-15
10,2012-11-15,27.87945205,MIA,DEN,W (+5),41:57:00,11,23,0.478,0,1,0,5,6,0.833,1,6,7,12,1,3,4,27,24.9,9
11,2012-11-17,27.88493151,MIA,PHO,W (+9),40:43:00,8,20,0.4,1,3,0.333,4,7,0.571,0,7,7,3,2,0,1,21,13.8,20
12,2012-11-21,27.89589041,MIA,MIL,W (+7),42:32:00,11,21,0.524,2,4,0.5,4,8,0.5,2,8,10,8,1,1,1,28,25,5
13,2012-11-24,27.90410959,MIA,CLE,W (+2),39:58:00,10,16,0.625,2,5,0.4,8,9,0.889,1,5,6,5,0,1,7,30,20.6,7
14,2012-11-29,27.91780822,MIA,SAS,W (+5),39:06:00,9,16,0.563,2,5,0.4,3,6,0.5,3,6,9,7,4,0,4,23,22.2,-1
15,2012-12-01,27.92328767,MIA,BRK,W (+13),36:57:00,8,15,0.533,1,2,0.5,4,6,0.667,1,8,9,6,1,0,2,21,18,14
16,2012-12-04,27.93150685,MIA,WAS,L (-4),42:53:00,12,24,0.5,1,4,0.25,1,3,0.333,2,11,13,11,3,2,3,26,26.6,-3
17,2012-12-06,27.9369863,MIA,NYK,L (-20),38:35:00,11,20,0.55,3,5,0.6,6,9,0.667,2,8,10,9,3,0,2,31,31.3,-17
18,2012-12-08,27.94246575,MIA,NOH,W (+16),35:55:00,11,16,0.688,0,0,,2,3,0.667,1,4,5,7,2,0,4,24,20.8,10
19,2012-12-10,27.94794521,MIA,ATL,W (+9),40:21:00,10,16,0.625,1,2,0.5,6,7,0.857,1,6,7,6,2,0,3,27,25.1,12
20,2012-12-12,27.95342466,MIA,GSW,L (-2),42:21:00,12,23,0.522,2,4,0.5,5,5,1,1,2,3,5,1,0,4,31,21.5,-3
21,2012-12-15,27.96164384,MIA,WAS,W (+30),30:33:00,8,15,0.533,0,3,0,7,11,0.636,0,10,10,5,1,0,2,23,19.6,36
22,2012-12-18,27.96986301,MIA,MIN,W (+11),41:59:00,8,18,0.444,2,5,0.4,4,5,0.8,0,6,6,11,1,4,0,22,25.5,12
23,2012-12-20,27.97534247,MIA,DAL,W (+15),30:55:00,9,13,0.692,3,5,0.6,3,4,0.75,0,9,9,5,1,1,5,24,21,25
24,2012-12-22,27.98082192,MIA,UTA,W (+16),37:30:00,11,20,0.55,1,1,1,7,10,0.7,1,8,9,7,0,0,4,30,23.2,14
25,2012-12-25,27.9890411,MIA,OKC,W (+6),41:52:00,12,20,0.6,0,3,0,5,5,1,3,5,8,9,2,1,3,29,28.2,13
26,2012-12-26,27.99178082,MIA,CHA,W (+13),38:35:00,9,19,0.474,2,4,0.5,7,8,0.875,2,10,12,8,4,2,3,27,28.9,12
27,2012-12-28,27.99726027,MIA,DET,L (-10),44:19:00,15,22,0.682,2,4,0.5,3,4,0.75,1,5,6,5,6,1,3,35,34.2,-2
28,2012-12-29,28,MIA,MIL,L (-19),36:29:00,11,20,0.55,1,2,0.5,3,5,0.6,1,5,6,7,2,1,6,26,18.6,-8
29,2012-12-31,28.00273973,MIA,ORL,W (+2),47:53:00,10,22,0.455,1,6,0.167,15,16,0.938,1,7,8,11,1,0,3,36,31.9,4
30,2013-01-02,28.00821918,MIA,DAL,W (+10),42:01:00,11,20,0.55,1,3,0.333,9,11,0.818,1,11,12,9,3,1,4,32,31.6,12
31,2013-01-04,28.01369863,MIA,CHI,L (-7),41:05:00,8,14,0.571,1,5,0.2,13,16,0.813,0,6,6,2,1,0,2,30,23.6,-18
32,2013-01-06,28.01917808,MIA,WAS,W (+28),34:57:00,9,17,0.529,2,3,0.667,4,4,1,1,1,2,7,0,1,1,24,21.3,26
33,2013-01-08,28.02465753,MIA,IND,L (-10),42:36:00,10,20,0.5,1,1,1,1,4,0.25,3,7,10,4,1,2,7,22,12.4,-5
34,2013-01-10,28.03013699,MIA,POR,L (-2),42:39:00,6,16,0.375,1,5,0.2,2,5,0.4,0,10,10,9,2,1,4,15,11.8,-9
35,2013-01-12,28.03561644,MIA,SAC,W (+29),29:08:00,7,10,0.7,0,1,0,6,7,0.857,1,4,5,7,5,2,1,20,27.6,28
36,2013-01-14,28.04109589,MIA,UTA,L (-7),43:41:00,13,19,0.684,2,4,0.5,4,4,1,1,3,4,6,3,2,3,32,29.1,1
37,2013-01-16,28.04657534,MIA,GSW,W (+17),30:32:00,11,20,0.55,1,5,0.2,2,3,0.667,1,6,7,10,1,0,1,25,23.7,33
38,2013-01-17,28.04931507,MIA,LAL,W (+9),42:04:00,17,25,0.68,1,2,0.5,4,4,1,0,7,7,8,3,1,2,39,36.9,13
39,2013-01-23,28.06575342,MIA,TOR,W (+7),44:50:00,12,23,0.522,1,5,0.2,6,7,0.857,1,9,10,11,0,0,3,31,27,9
40,2013-01-25,28.07123288,MIA,DET,W (+22),33:01:00,9,14,0.643,0,1,0,5,6,0.833,1,6,7,7,1,0,2,23,22.8,22
